,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9
TCGA-26-5132,-0.24723906291482095,0.22987752298565362,-0.3519569924821913,-1.202769441226804,-0.07829862442250171,0.3032304582873781,1.1971221495868962,0.5485573325955537,-1.2261280379662234
TCGA-26-5133,0.6305954769925868,-0.8250881345203402,-0.7645083937713055,-0.07626768074779773,5.34592990033843,0.4457909276184471,-1.067132798941443,0.0660638367337286,-0.25419717355885146
TCGA-26-5134,-0.15620636329514448,-0.9207137549751909,0.1626125999954346,-1.1247653493018852,-0.18553909960703835,0.48094622912529655,-1.8155730921719588,-0.2465067727711638,0.18738351337123194
TCGA-26-5135,-0.40601966659406025,0.26568840331584037,-0.08594383288121736,-0.08599354270286576,-0.061240212127997504,0.020146792252209184,-2.3177397016445096,-0.3241653105151944,-0.8112201297923575
TCGA-26-5136,-0.2784278419863863,-0.24634472112303207,0.06300605429513247,-0.6674067402109054,-0.1437772466208234,0.9576527428733643,0.8366357885435675,0.5529922485798977,-0.3244362576101669
TCGA-26-5139,-0.3546102701651212,0.6773696249426385,0.9564424155862291,0.7667817385894851,-0.19022531980353197,-0.8875060576367956,0.13832678723734523,0.6173860404753779,-0.37888810149444746
TCGA-28-5207,-0.2701485229507081,-1.0281342248510876,1.5868672828565349,0.5175363702425648,-0.1356236349326863,0.6017142631053636,0.14464547150752616,-0.22323266204279407,0.6123278670389385
TCGA-28-5208,-0.25939416349573663,0.06809857687223066,-0.15488196696844886,-0.5748791232796725,-0.16578754205759447,-1.0221314314393235,0.2296567031953472,0.15771237682558562,0.6328763255961277
TCGA-28-5209,-0.2068145100967419,0.16055839593602286,-0.958627715425046,-0.6071970943081246,-0.22652306387826499,-1.5210213784570707,0.37025055263386325,0.285814683102758,-1.0679291413180403
TCGA-28-5213,-0.40635368761257173,1.3518806180677643,-0.8467892175708388,0.9252196444730999,-0.11478692312363604,1.8691044813746993,1.2994416275847627,0.05031764936382606,2.2899959122065665
TCGA-28-5215,-0.22621310227476144,-0.1520018791364222,-0.04016345014180138,-0.7063307434351083,-0.19815522605994515,1.0069290928363692,-1.8187253489483466,-0.14462910306364402,-1.0996448632993725
TCGA-28-5216,-0.20987634807256156,0.2925781414340239,0.5298832152246394,-0.3344582424201057,-0.1413208548666558,0.34422603954890957,-1.4619989770543989,0.25432422906807994,0.006108596818920777
TCGA-28-5218,-0.4128059145134215,1.7418900888277267,-1.4024923155505473,-0.5508989227671929,-0.027113048606365524,0.6337066823900126,0.2568933806956831,-5.279268048551073,-1.762445099277117
TCGA-28-5220,-0.5549965054246341,-1.104961195981538,-1.5588617761398391,0.03416858355860771,-0.17592903466407053,0.9182597832934931,1.4437709109763568,-0.4845296148947321,2.9974503748855637
TCGA-32-5222,-0.18898600872450955,0.35205887195266006,-0.21723899201554864,-0.18677063357697657,-0.18433094150731003,-0.5792120322679276,0.6630947311015706,0.26431112586047784,1.7007857635282997
TCGA-41-5651,-0.06361431260329392,-1.7070944188201167,1.4588456677476054,-1.0757097449723916,-0.14514743070993827,-0.08180482989318097,-2.073316920630465,-0.4070226603489195,-0.1837527467011672
TCGA-76-4925,-0.21272512046112485,0.07786129772924957,-1.178888801340322,-1.4596873807746609,-0.20280219689389256,-1.7165517024313213,0.32952773905606414,0.29442564679064914,-0.6482677990776979
TCGA-76-4926,-0.4722764281580576,-0.2674000196960397,1.7227268922644798,0.16561647150493772,-0.1739614106711548,-0.10720447599474262,1.2781757096386666,0.5368243870007571,0.2680520776976116
TCGA-76-4928,-0.3788051628561506,1.3101108598102527,-0.9183955842010723,-0.25103871838248926,-0.147338399121741,-0.26316495006776264,-0.4504964380517043,-0.07782716669128716,0.2356260565993271
TCGA-76-4931,-0.3978489800994772,-0.33104745639695093,1.2693617530332617,-0.4861938419835448,-0.1627870991290603,-1.1988766728250286,-0.4940985272383218,0.5079933580569835,-0.18812190848332297
TCGA-76-4932,-0.34116369082974324,0.3437775618658365,-0.48291722152824174,-0.4010219171786416,0.005237906369275751,-1.5295927475475755,0.03384493312940971,0.7417011909978762,0.37954411329285787
